"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BAJAJHLDNG","EQ","09-Feb-2018","       2709.75","       2651.10","       2704.95","       2631.00","       2695.00","       2693.80","       2685.89","       6149","            16515514.75","       1494","       3814","         62.03"
"BAJAJHLDNG","EQ","12-Feb-2018","       2693.80","       2682.05","       2715.00","       2682.05","       2686.15","       2689.90","       2691.79","      11220","            30201907.30","        719","      10220","         91.09"
"BAJAJHLDNG","EQ","14-Feb-2018","       2689.90","       2708.90","       2785.00","       2700.10","       2755.00","       2743.40","       2727.52","      33172","            90477329.45","       1738","      30307","         91.36"
"BAJAJHLDNG","EQ","15-Feb-2018","       2743.40","       2757.00","       2759.95","       2727.65","       2750.00","       2749.25","       2749.11","      43980","           120905867.20","       3267","      40741","         92.64"
"BAJAJHLDNG","EQ","16-Feb-2018","       2749.25","       2732.05","       2750.00","       2728.00","       2745.00","       2738.10","       2739.47","       9992","            27372825.40","       1519","       8295","         83.02"
"BAJAJHLDNG","EQ","19-Feb-2018","       2738.10","       2750.00","       2750.00","       2714.85","       2735.00","       2722.75","       2725.00","      18968","            51687787.05","       1672","      17900","         94.37"
"BAJAJHLDNG","EQ","20-Feb-2018","       2722.75","       2735.00","       2755.00","       2700.00","       2721.00","       2723.15","       2719.71","      10366","            28192480.50","       3806","       7457","         71.94"
"BAJAJHLDNG","EQ","21-Feb-2018","       2723.15","       2702.50","       2735.00","       2702.50","       2735.00","       2718.65","       2712.95","      19881","            53936140.05","       6754","      18016","         90.62"
"BAJAJHLDNG","EQ","22-Feb-2018","       2718.65","       2718.80","       2723.85","       2700.00","       2715.00","       2712.95","       2711.81","       9829","            26654369.55","       2372","       7470","         76.00"
"BAJAJHLDNG","EQ","23-Feb-2018","       2712.95","       2714.20","       2739.95","       2710.00","       2739.95","       2737.10","       2733.28","       2975","             8131508.30","        790","       1691","         56.84"
"BAJAJHLDNG","EQ","26-Feb-2018","       2737.10","       2758.95","       2767.45","       2722.95","       2736.00","       2736.30","       2738.70","       8308","            22753126.35","       1502","       6356","         76.50"
"BAJAJHLDNG","EQ","27-Feb-2018","       2736.30","       2726.00","       2763.00","       2726.00","       2730.10","       2737.40","       2739.84","       6449","            17669204.40","       1429","       4661","         72.27"
"BAJAJHLDNG","EQ","28-Feb-2018","       2737.40","       2734.00","       2734.00","       2710.05","       2720.00","       2723.55","       2724.02","       2512","             6842750.20","        677","       1639","         65.25"
"BAJAJHLDNG","EQ","01-Mar-2018","       2723.55","       2736.00","       2750.00","       2710.00","       2739.00","       2720.65","       2718.96","      10466","            28456679.30","       1655","       8789","         83.98"
"BAJAJHLDNG","EQ","05-Mar-2018","       2720.65","       2711.00","       2742.45","       2711.00","       2721.00","       2720.60","       2727.20","      18141","            49474090.35","       3924","      15097","         83.22"
"BAJAJHLDNG","EQ","06-Mar-2018","       2720.60","       2720.60","       2955.00","       2720.60","       2759.95","       2761.35","       2848.32","      54499","           155230675.10","       9512","      12805","         23.50"
"BAJAJHLDNG","EQ","07-Mar-2018","       2761.35","       2780.00","       2780.00","       2725.00","       2736.35","       2733.60","       2734.52","       8348","            22827765.75","       1093","       4927","         59.02"
"BAJAJHLDNG","EQ","08-Mar-2018","       2733.60","       2708.60","       2757.45","       2708.60","       2729.55","       2727.75","       2729.43","      10762","            29374098.80","        990","      10027","         93.17"
"BAJAJHLDNG","EQ","09-Mar-2018","       2727.75","       2739.95","       2749.95","       2719.95","       2725.20","       2728.80","       2729.71","       3598","             9821501.60","        518","       2778","         77.21"
"BAJAJHLDNG","EQ","12-Mar-2018","       2728.80","       2763.85","       2763.85","       2723.40","       2730.00","       2745.35","       2746.78","      63508","           174442287.75","       1069","      62132","         97.83"
"BAJAJHLDNG","EQ","13-Mar-2018","       2745.35","       2735.05","       2743.80","       2704.00","       2705.00","       2706.30","       2716.70","       8989","            24420386.60","       2174","       6650","         73.98"
"BAJAJHLDNG","EQ","14-Mar-2018","       2706.30","       2701.00","       2716.00","       2680.00","       2686.20","       2684.05","       2705.62","      16204","            43841829.85","       1396","      14370","         88.68"
"BAJAJHLDNG","EQ","15-Mar-2018","       2684.05","       2710.00","       2753.85","       2689.00","       2750.00","       2729.75","       2717.23","      37650","           102303849.60","       2311","      33089","         87.89"
"BAJAJHLDNG","EQ","16-Mar-2018","       2729.75","       2755.00","       2755.00","       2565.00","       2599.00","       2602.50","       2663.04","      58527","           155860013.35","       8400","      49551","         84.66"
