Announcement Date,Old FV,New FV,Ex-Split Date,symbol
29-07-1994,100,10,29-07-1994,CIPLA
03-01-1996,100,10,19-10-1989,RELIANCE
03-01-1996,100,10,-,TATAMOTORS
03-01-1996,100,10,23-10-1989,TATASTEEL
27-09-1999,10,1,06-12-1999,ZEEL
30-11-1999,10,5,24-01-2000,INFY
05-07-2000,10,1,03-07-2000,HINDUNILVR
24-10-2000,4,2,27-11-2000,HCLTECH
30-01-2001,10,2,12-03-2001,HEROMOTOCO
31-07-2001,10,5,10-10-2001,DRREDDY
28-10-2002,10,5,13-01-2003,SUNPHARMA
09-08-2003,10,5,23-10-2003,AUROPHARMA
23-10-2003,10,5,22-12-2003,JINDALSTEL
02-02-2004,10,1,28-06-2004,ASHOKLEY
23-03-2004,10,2,11-05-2004,CIPLA
05-02-2005,10,1,23-03-2005,BALRAMCHIN
17-06-2005,10,1,21-09-2005,ITC
12-07-2005,10,1,30-08-2005,HINDALCO
22-07-2005,10,2,27-09-2005,UPL
16-06-2006,10,1,08-09-2006,EXIDEIND
12-01-2007,10,1,21-02-2007,MARICO
28-04-2007,10,1,23-01-2008,UNIONBANK
21-11-2007,5,1,21-01-2008,JINDALSTEL
27-12-2007,10,1,10-04-2008,NMDC
28-04-2008,10,1,08-08-2008,VEDL
29-04-2009,10,5,24-07-2009,BHARTIARTL
18-03-2010,10,2,03-05-2010,MANAPPURAM
30-04-2010,10,1,30-06-2010,TATAGLOBAL
05-05-2010,10,2,27-08-2010,ULTRACEMCO
11-05-2010,10,5,13-09-2010,KOTAKBANK
17-05-2010,10,2,23-09-2010,ADANIPORTS
27-05-2010,10,2,08-09-2010,BRITANNIA
28-05-2010,10,5,02-09-2010,APOLLOHOSP
24-09-2010,5,1,25-11-2010,SUNPHARMA
27-10-2010,10,2,30-12-2010,LICHSGFIN
03-11-2010,5,1,10-02-2011,AUROPHARMA
16-12-2010,10,5,08-02-2011,ONGC
03-05-2010,10,2,18-08-2010,HDFC
18-04-2011,10,2,14-07-2011,HDFCBANK
29-04-2011,10,1,23-06-2011,TITAN
26-05-2011,10,2,12-09-2011,TATAMOTORS
09-05-2013,10,1,30-07-2013,ASIANPAINT
04-06-2013,10,2,17-10-2013,FEDERALBNK
14-11-2013,10,2,27-01-2014,KSCL
25-04-2014,10,2,28-07-2014,AXISBANK
02-05-2014,10,2,20-06-2014,DEEPAKNTR
26-08-2014,10,2,-,CANBK
09-09-2014,10,2,04-12-2014,ICICIBANK
19-09-2014,10,2,18-12-2014,PNB
24-09-2014,10,1,20-11-2014,SBIN
27-09-2014,10,2,22-01-2015,BANKBARODA
30-01-2015,10,5,19-03-2015,TECHM
26-07-2016,10,2,08-09-2016,BAJFINANCE
27-10-2016,10,1,04-01-2017,JSWSTEEL
14-11-2016,10,1,07-02-2017,LT
26-07-2017,10,2,21-09-2017,YESBANK
13-04-2018,10,2,15-06-2018,MCDOWELL-N
23-08-2018,2,1,29-11-2018,BRITANNIA
22-05-2019,2,1,19-09-2019,HDFCBANK
